Date,High,Low,Open,Close,Volume,Adj Close
2014/09/08,4600.4,4570.23,4579.06,4592.29,1670210000,4592.29
2014/09/09,4599.03,4544.44,4588.83,4552.29,1956550000,4552.29
2014/09/10,4587.1,4544.84,4554.15,4586.52,1808650000,4586.52
2014/09/11,4591.81,4559.75,4567.64,4591.81,1704850000,4591.81
2014/09/12,4590.08,4555.68,4588.77,4567.6,1784170000,4567.6
2014/09/15,4567.47,4506.73,4567.45,4518.9,1940520000,4518.9
2014/09/16,4558.24,4499.87,4502.11,4552.76,1879350000,4552.76
2014/09/17,4582.4,4539.36,4553.96,4562.19,1796710000,4562.19
2014/09/18,4593.98,4572.62,4575.74,4593.43,1774840000,4593.43
2014/09/19,4610.57,4563.44,4606.13,4579.79,3178490000,4579.79
2014/09/22,4568.87,4513.12,4568.45,4527.69,1881520000,4527.69
2014/09/23,4536.03,4508.42,4511.32,4508.69,1847730000,4508.69
2014/09/24,4557.27,4500.13,4514.92,4555.22,1765260000,4555.22
2014/09/25,4546.93,4466.64,4540.82,4466.75,1939610000,4466.75
2014/09/26,4515.75,4475.48,4476.48,4512.19,1637480000,4512.19
2014/09/29,4515.24,4464.44,4465.84,4505.85,1737750000,4505.85
2014/09/30,4522.06,4483.91,4512.64,4493.39,2200380000,4493.39
2014/10/01,4486.79,4409.3,4486.65,4422.09,2312630000,4422.09
2014/10/02,4441.95,4367.74,4421.25,4430.2,2165500000,4430.2
2014/10/03,4488.07,4445.72,4456.81,4475.62,1777640000,4475.62
2014/10/06,4496.26,4444.1,4492.4,4454.8,1828240000,4454.8
2014/10/07,4441.76,4385.15,4433.91,4385.2,2111360000,4385.2
2014/10/08,4473.73,4355.34,4385.7,4468.59,2451630000,4468.59
2014/10/09,4464.13,4377.28,4458.29,4378.34,2264220000,4378.34
2014/10/10,4380.51,4276.24,4354.63,4276.24,2765750000,4276.24
2014/10/13,4303.82,4212.87,4274.91,4213.66,2467830000,4213.66
2014/10/14,4281.34,4212.82,4246.23,4227.17,2496120000,4227.17
2014/10/15,4231.54,4116.6,4154.1,4215.32,3058740000,4215.32
2014/10/16,4246.01,4131.65,4133.25,4217.39,2591940000,4217.39
2014/10/17,4296.11,4241.67,4275.09,4258.44,2260070000,4258.44
2014/10/20,4316.87,4248.22,4254.16,4316.07,1717370000,4316.07
2014/10/21,4419.48,4356.1,4359.17,4419.48,1997580000,4419.48
2014/10/22,4435.86,4381.28,4429.16,4382.85,1967020000,4382.85
2014/10/23,4475.55,4421.56,4427.44,4452.79,1952380000,4452.79
2014/10/24,4486.26,4445.85,4459.46,4483.72,1754300000,4483.72
2014/10/27,4489.6,4450.29,4469.02,4485.93,1585580000,4485.93
2014/10/28,4564.29,4505.11,4505.73,4564.29,1966920000,4564.29
2014/10/29,4564.44,4517.02,4551.37,4549.23,2184050000,4549.23
2014/10/30,4575.5,4521.79,4532.1,4566.14,2034960000,4566.14
2014/10/31,4641.51,4616.58,4639.45,4630.74,2424360000,4630.74
2014/11/03,4654.19,4627.42,4633.71,4638.91,2033000000,4638.91
2014/11/04,4635.95,4594.92,4623.77,4623.64,1939320000,4623.64
2014/11/05,4650.39,4607.73,4649.47,4620.72,2001870000,4620.72
2014/11/06,4639.17,4604.76,4616.78,4638.47,1986820000,4638.47
2014/11/07,4638.8,4606.81,4636.89,4632.53,1978830000,4632.53
2014/11/10,4653.38,4626.49,4635.1,4651.62,1830010000,4651.62
2014/11/11,4661.23,4640.24,4649.19,4660.56,1663690000,4660.56
2014/11/12,4678.58,4643.78,4644.63,4675.14,1773060000,4675.14
2014/11/13,4703.1,4664.27,4681.56,4680.14,1857580000,4680.14
2014/11/14,4688.74,4664.31,4679.85,4688.54,1739950000,4688.54
2014/11/17,4689.53,4655.2,4678.44,4671.0,1695070000,4671.0
2014/11/18,4709.83,4674.3,4674.84,4702.44,1655760000,4702.44
2014/11/19,4696.2,4655.72,4694.78,4675.71,1641560000,4675.71
2014/11/20,4702.97,4653.33,4655.2,4701.87,1667330000,4701.87
2014/11/21,4751.6,4700.73,4751.01,4712.97,1854340000,4712.97
2014/11/24,4755.02,4723.62,4725.17,4754.89,1568130000,4754.89
2014/11/25,4774.52,4749.92,4762.39,4758.25,1720140000,4758.25
2014/11/26,4788.0,4757.48,4760.23,4787.32,1362930000,4787.32
2014/11/28,4810.86,4786.72,4797.1,4791.63,998600000,4791.63
2014/12/01,4782.07,4724.62,4777.73,4727.35,1893600000,4727.35
2014/12/02,4761.63,4729.76,4732.97,4755.81,1839170000,4755.81
2014/12/03,4781.37,4745.14,4761.31,4774.47,1734510000,4774.47
2014/12/04,4785.41,4753.71,4772.0,4769.44,1724090000,4769.44
2014/12/05,4788.98,4769.64,4776.58,4780.76,1767100000,4780.76
2014/12/08,4793.24,4722.91,4769.76,4740.69,1966770000,4740.69
2014/12/09,4768.41,4674.38,4685.2,4766.47,1950330000,4766.47
2014/12/10,4766.64,4679.25,4754.42,4684.02,1850810000,4684.02
2014/12/11,4759.88,4699.43,4704.65,4708.16,1873050000,4708.16
2014/12/12,4707.92,4653.6,4665.35,4653.6,1888870000,4653.6
2014/12/15,4690.58,4592.43,4679.67,4605.16,2143610000,4605.16
2014/12/16,4645.19,4547.31,4572.79,4547.83,2231670000,4547.83
2014/12/17,4651.9,4550.7,4556.9,4644.31,2279930000,4644.31
2014/12/18,4748.4,4697.09,4712.39,4748.4,2172260000,4748.4
2014/12/19,4782.13,4738.29,4752.6,4765.38,3287920000,4765.38
2014/12/22,4781.93,4757.8,4759.04,4781.42,1720070000,4781.42
2014/12/23,4798.06,4761.39,4798.03,4765.42,1590820000,4765.42
2014/12/24,4787.57,4768.67,4770.12,4773.47,729750000,4773.47
2014/12/26,4814.95,4787.85,4788.06,4806.86,930220000,4806.86
2014/12/29,4813.72,4798.9,4801.26,4806.91,1227740000,4806.91
2014/12/30,4803.89,4772.88,4793.61,4777.44,1269200000,4777.44
2014/12/31,4806.43,4734.11,4790.53,4736.05,1515600000,4736.05
2015/01/02,4777.01,4698.11,4760.24,4726.81,1435150000,4726.81
2015/01/05,4702.77,4641.46,4700.34,4652.57,1794470000,4652.57
2015/01/06,4667.33,4567.59,4666.85,4592.74,2167320000,4592.74
2015/01/07,4652.72,4613.9,4626.84,4650.47,1957950000,4650.47
2015/01/08,4741.38,4688.02,4689.54,4736.19,2105450000,4736.19
2015/01/09,4744.71,4681.24,4744.47,4704.07,1715830000,4704.07
2015/01/12,4715.81,4650.65,4714.07,4664.71,1861960000,4664.71
2015/01/13,4751.34,4624.28,4708.74,4661.5,2162180000,4661.5
2015/01/14,4655.37,4595.98,4610.76,4639.32,2073810000,4639.32
2015/01/15,4663.96,4567.39,4657.46,4570.82,1976260000,4570.82
2015/01/16,4635.82,4563.11,4566.38,4634.38,1970520000,4634.38
2015/01/20,4665.65,4601.1,4655.84,4654.85,1835040000,4654.85
2015/01/21,4692.46,4629.59,4641.95,4667.42,1847420000,4667.42
2015/01/22,4752.6,4644.57,4690.93,4750.4,1996550000,4750.4
2015/01/23,4771.18,4737.95,4748.19,4757.88,1653830000,4757.88
2015/01/26,4774.18,4734.2,4752.36,4771.76,1717510000,4771.76
2015/01/27,4721.87,4659.83,4698.23,4681.5,1954160000,4681.5
2015/01/28,4742.06,4637.48,4740.69,4637.99,2118680000,4637.99
2015/01/29,4688.41,4601.76,4635.73,4683.41,2110710000,4683.41
2015/01/30,4703.81,4631.1,4671.21,4635.24,2264230000,4635.24
2015/02/02,4676.69,4580.46,4650.6,4676.69,2006450000,4676.69
2015/02/03,4727.74,4670.82,4693.25,4727.74,2153520000,4727.74
2015/02/04,4744.33,4697.79,4699.81,4716.7,2212960000,4716.7
2015/02/05,4767.38,4722.8,4729.65,4765.1,2036590000,4765.1
2015/02/06,4787.18,4731.22,4768.84,4744.4,2034060000,4744.4
2015/02/09,4749.47,4719.61,4723.73,4726.01,1654680000,4726.01
2015/02/10,4793.27,4737.12,4754.63,4787.64,1773730000,4787.64
2015/02/11,4810.36,4780.13,4788.37,4801.18,1793630000,4801.18
2015/02/12,4857.61,4823.57,4828.08,4857.61,2075470000,4857.61
2015/02/13,4893.84,4860.12,4869.73,4893.84,1942240000,4893.84
2015/02/17,4901.89,4880.64,4889.99,4899.27,1751490000,4899.27
2015/02/18,4907.5,4885.6,4890.84,4906.36,1684800000,4906.36
2015/02/19,4929.53,4900.63,4901.51,4924.7,1592890000,4924.7
2015/02/20,4957.02,4905.59,4919.78,4955.97,1761140000,4955.97
2015/02/23,4960.97,4939.56,4953.1,4960.97,1754850000,4960.97
2015/02/24,4971.18,4945.14,4956.21,4968.12,1834890000,4968.12
2015/02/25,4984.24,4956.0,4960.36,4967.14,1848560000,4967.14
2015/02/26,4989.11,4955.51,4969.27,4987.89,1905550000,4987.89
2015/02/27,4989.25,4960.87,4985.03,4963.53,1955590000,4963.53
2015/03/02,5008.57,4972.01,4973.43,5008.1,1931110000,5008.1
2015/03/03,4996.66,4956.07,4990.7,4979.9,2018900000,4979.9
2015/03/04,4973.32,4938.9,4961.24,4967.14,1824830000,4967.14
2015/03/05,4993.52,4963.1,4979.95,4982.81,1724200000,4982.81
2015/03/06,4982.93,4918.63,4967.24,4927.37,1918220000,4927.37
2015/03/09,4950.47,4920.82,4936.08,4942.44,1696510000,4942.44
2015/03/10,4903.44,4859.79,4899.51,4859.79,1876010000,4859.79
2015/03/11,4876.09,4846.79,4866.94,4849.94,1846020000,4849.94
2015/03/12,4895.8,4853.2,4853.98,4893.29,1855110000,4893.29
2015/03/13,4904.47,4842.8,4885.54,4871.76,1851410000,4871.76
2015/03/16,4929.94,4889.09,4897.27,4929.51,1713480000,4929.51
2015/03/17,4944.91,4907.02,4912.65,4937.43,1724370000,4937.43
2015/03/18,5001.57,4907.72,4926.83,4982.83,1983570000,4982.83
2015/03/19,5000.02,4979.94,4982.02,4992.38,1674970000,4992.38
2015/03/20,5042.14,5020.07,5033.47,5026.42,2825670000,5026.42
2015/03/23,5031.39,5010.97,5020.6,5010.97,1608880000,5010.97
2015/03/24,5032.48,4994.56,5010.1,4994.73,1611670000,4994.73
2015/03/25,5006.76,4876.52,5002.83,4876.52,2219520000,4876.52
2015/03/26,4889.21,4825.93,4835.71,4863.36,2004960000,4863.36
2015/03/27,4899.26,4859.66,4863.74,4891.22,1678650000,4891.22
2015/03/30,4948.46,4921.12,4921.78,4947.44,1778520000,4947.44
2015/03/31,4940.87,4899.31,4925.91,4900.88,1837660000,4900.88
2015/04/01,4899.38,4844.39,4894.36,4880.23,1874960000,4880.23
2015/04/02,4901.33,4872.96,4885.41,4886.94,1563670000,4886.94
2015/04/06,4929.62,4852.91,4855.94,4917.32,1737560000,4917.32
2015/04/07,4948.88,4909.77,4917.5,4910.23,1572940000,4910.23
2015/04/08,4956.72,4914.15,4914.15,4950.82,1714210000,4950.82
2015/04/09,4975.93,4928.11,4950.84,4974.56,1729750000,4974.56
2015/04/10,4996.08,4970.02,4977.03,4995.98,1494240000,4995.98
2015/04/13,5024.25,4985.96,5001.55,4988.25,1544190000,4988.25
2015/04/14,4996.82,4952.01,4988.82,4977.29,1571360000,4977.29
2015/04/15,5021.19,4989.24,4992.62,5011.02,1795530000,5011.02
2015/04/16,5016.0,4996.0,4999.36,5007.79,1662850000,5007.79
2015/04/17,4974.09,4912.33,4966.11,4931.81,1985190000,4931.81
2015/04/20,5000.2,4952.68,4958.07,4994.6,1646340000,4994.6
2015/04/21,5028.22,5009.51,5023.96,5014.1,1721260000,5014.1
2015/04/22,5040.65,4992.62,5026.57,5035.17,1696380000,5035.17
2015/04/23,5073.09,5019.29,5020.22,5056.06,1858620000,5056.06
2015/04/24,5100.37,5081.21,5096.34,5092.08,1895150000,5092.08
2015/04/27,5119.83,5053.54,5104.36,5060.25,2172470000,5060.25
2015/04/28,5075.3,5006.28,5063.26,5055.42,2032500000,5055.42
2015/04/29,5053.84,4999.83,5028.45,5023.64,1871300000,5023.64
2015/04/30,5015.96,4921.55,4996.99,4941.42,2269290000,4941.42
2015/05/01,5005.39,4962.74,4966.32,5005.39,1854400000,5005.39
2015/05/04,5043.62,5013.02,5018.35,5016.93,1668200000,5016.93
2015/05/05,5008.27,4934.34,5000.2,4939.33,2069490000,4939.33
2015/05/06,4965.1,4888.17,4956.7,4919.64,2144620000,4919.64
2015/05/07,4957.12,4914.53,4917.75,4945.54,2042960000,4945.54
2015/05/08,5014.33,4989.26,4991.63,5003.55,1978760000,5003.55
2015/05/11,5017.38,4992.02,5003.26,4993.57,1731390000,4993.57
2015/05/12,4995.5,4931.6,4966.44,4976.19,1705870000,4976.19
2015/05/13,5012.97,4977.49,4991.42,4981.69,1672260000,4981.69
2015/05/14,5051.72,4999.65,5016.68,5050.8,1741970000,5050.8
2015/05/15,5062.65,5034.84,5059.15,5048.29,1667260000,5048.29
2015/05/18,5084.5,5037.54,5040.92,5078.44,1643870000,5078.44
2015/05/19,5087.35,5062.8,5080.44,5070.03,1750980000,5070.03
2015/05/20,5097.52,5050.21,5072.44,5071.74,1786830000,5071.74
2015/05/21,5098.23,5062.51,5065.94,5090.79,1683670000,5090.79
2015/05/22,5103.84,5085.19,5085.39,5089.36,1544920000,5089.36
2015/05/26,5081.17,5016.74,5076.91,5032.75,1731950000,5032.75
2015/05/27,5111.54,5039.37,5047.86,5106.59,1809550000,5106.59
2015/05/28,5106.65,5080.25,5096.34,5097.98,1741420000,5097.98
2015/05/29,5099.4,5057.59,5093.1,5070.03,2024170000,5070.03
2015/06/01,5099.01,5045.67,5094.94,5082.93,1902120000,5082.93
2015/06/02,5100.02,5047.35,5063.47,5076.52,1729750000,5076.52
