Date,Open,High,Low,Close,Volume,Value
2015-07-08 09:00:00,20280,20320,19650,19660,1131884,22605320469
2015-07-08 16:30:00,19640,19710,19360,19390,966693,18899101725
2015-07-09 09:00:00,19350,19903,19105,19860,1368384,26632899079
2015-07-09 16:30:00,19850,19865,19635,19690,503260,9956087700
2015-07-10 09:00:00,19820,19980,19715,19860,780336,15483931942
2015-07-10 16:30:00,19880,20090,19835,20000,467849,9346140615
2015-07-13 09:00:00,19950,20130,19910,20090,500304,10019928875
2015-07-13 16:30:00,20270,20375,20235,20325,412903,8389429750
2015-07-14 09:00:00,20350,20435,20320,20420,474568,9672375395
2015-07-14 16:30:00,20410,20495,20360,20490,265120,5414259275
2015-07-15 09:00:00,20470,20490,20390,20450,360620,7376750580
2015-07-15 16:30:00,20465,20620,20445,20565,274164,5629231360
2015-07-16 09:00:00,20595,20605,20515,20560,352630,7250248170
2015-07-16 16:30:00,20590,20695,20585,20655,238861,4932769925
2015-07-17 09:00:00,20640,20655,20600,20640,227395,4691894825
2015-07-20 16:30:00,20650,20725,20630,20700,232911,4818287954
2015-07-21 09:00:00,20760,20850,20710,20840,283019,5878263005
2015-07-21 16:30:00,20825,20830,20595,20640,294807,6108033383
2015-07-22 09:00:00,20640,20675,20540,20555,378020,7791726266
2015-07-22 16:30:00,20565,20680,20525,20645,284619,5865671359
2015-07-23 09:00:00,20680,20700,20645,20670,223444,4618877730
2015-07-23 16:30:00,20640,20675,20555,20600,255083,5259854090
2015-07-24 09:00:00,20605,20630,20520,20520,292457,6013622675
2015-07-24 16:30:00,20550,20590,20355,20375,304133,6234270415
2015-07-27 09:00:00,20380,20490,20270,20355,507886,10341977495
2015-07-27 16:30:00,20245,20280,20045,20130,614739,12388573085
2015-07-28 09:00:00,20145,20425,20065,20305,783467,15849948738
2015-07-28 16:30:00,20285,20390,20185,20345,415977,8441097050
2015-07-29 09:00:00,20320,20330,20195,20300,442510,8969534945
2015-07-29 16:30:00,20345,20410,20275,20395,282277,5741169370
2015-07-30 09:00:00,20450,20585,20445,20560,494876,10154940515
2015-07-30 16:30:00,20560,20570,20460,20520,333782,6851361237
2015-07-31 09:00:00,20510,20590,20460,20560,403971,8293515140
2015-07-31 16:30:00,20595,20600,20490,20530,305358,6275533360
2015-08-03 09:00:00,20520,20555,20380,20505,489506,10025460388
2015-08-03 16:30:00,20495,20555,20420,20450,304568,6244707040
2015-08-04 09:00:00,20440,20545,20425,20460,378899,7765875740
2015-08-04 16:30:00,20435,20500,20415,20465,332738,6807705845
2015-08-05 09:00:00,20480,20715,20465,20600,574367,11833467740
2015-08-05 16:30:00,20625,20825,20620,20770,394785,8187370865
2015-08-06 09:00:00,20780,20805,20650,20655,462305,9590206691
2015-08-06 16:30:00,20725,20725,20570,20605,340393,7030099775
2015-08-07 09:00:00,20620,20745,20560,20710,462254,9550492051
2015-08-07 16:30:00,20680,20745,20575,20595,407556,8423960105
