"now","日付","コード","経常利益率","名称","セクター","時価総額","自己資本比率","株主数","【設立】","【上場】","【会社業績修正】","外国","浮動株","貸借優待","ROE予","ROA予","営業CF今年","営業CF前年","利益剰余金","BPS円今年","BPS円前年","MON0","MON1","MON2","MON3","MON4","MON5","MON6","MON7","MON8","MON9","MON10","MON11","MON12","MON13","MON14","MON15","MON16","MON17","MON18","MON19","MON20","MON21","MON22","MON23","MON24","MON_COM0","MON_COM1","MON_COM2","MON_COM3","MON_COM4","MON_COM5","MON_COM6","MON_COM7","MON_COM8","MON_COM9","MON_COM10","MON_COM11","MON_COM12","MON_COM13","MON_COM14","MON_COM15","MON_COM16","MON_COM17","MON_COM18","MON_COM19","MON_COM20","MON_COM21","MON_COM22","MON_COM23","MON_COM24"
"2018/07/26 23:36:41","201409","7747","1.246","朝日インテックあさひいんてっく","精密機器","1588","59.9","2814","1976.7","2004.7","None","28.7","4.0","[貸借]","None","None","5015","3653","14326","802.5","686.4","1.051","1.058","1.223","1.24","1.315","1.502","1.759","1.548","1.531","1.757","1.738","2.059","1.797","1.969","2.241","2.341","2.299","2.199","2.207","2.224","2.346","2.084","1.987","1.927","1.937","1.05","1.05","1.147","1.162","1.229","1.302","1.496","1.276","1.202","1.414","1.393","1.783","1.679","1.667","1.869","1.992","2.105","2.228","2.136","2.166","2.219","2.175","2.001","1.929","1.957"
"2018/07/26 23:39:41","201409","8890","1.259","(株)レーサムれーさむ","不動産業","509","69.5","12068","1992.5","2001.4","None","2.6","13.4","[貸借]","None","None","-80","36","13453","562.4","548.4","1.001","1.026","1.264","1.174","1.089","1.165","1.235","1.159","1.282","1.216","1.218","1.116","1.058","1.212","1.026","1.038","1.034","0.933","1.036","0.837","0.829","0.704","0.74","0.638","0.619","1.0","1.018","1.186","1.1","1.018","1.01","1.05","0.955","1.006","0.978","0.976","0.966","0.989","1.026","0.856","0.883","0.947","0.945","1.003","0.815","0.784","0.735","0.745","0.639","0.625"
"2018/07/26 23:43:53","201412","1711","2.25","(株)省電舎しょうでんしゃ","建設業","20.9","26.4","2791","1986.6","2004.12","None","3.6","57.5","","14.0","3.7","523","-160","-983","310.1","179.5","0.963","0.947","1.121","0.999","1.048","0.992","0.929","0.927","0.688","0.633","0.674","0.672","0.646","0.589","0.483","0.565","0.542","0.554","0.523","0.51","0.531","0.548","0.874","0.872","0.814","0.966","0.946","1.039","0.908","0.924","0.833","0.799","0.794","0.637","0.633","0.611","0.599","0.588","0.577","0.523","0.585","0.564","0.561","0.584","0.55","0.569","0.585","0.885","0.838","0.741"
"2018/07/26 23:57:37","201412","6786","4.931","(株)リアルビジョンりあるびじょん","電気機器","22.8","86.1","2368","1996.7","2000.12","None","0.9","21.5","","84.6","72.9","-144","-317","-764","120.0","133.5","1.177","1.616","1.69","1.641","1.628","1.697","1.586","1.549","1.446","1.554","1.49","1.63","1.906","1.526","1.802","2.853","3.074","2.975","2.657","2.432","1.851","2.131","2.4","2.034","2.11","1.181","1.614","1.566","1.492","1.436","1.425","1.364","1.327","1.339","1.554","1.35","1.454","1.734","1.495","1.952","2.953","3.199","3.011","2.965","2.621","1.982","2.277","2.429","1.956","1.92"
"2018/07/26 23:58:09","201412","6927","2.368","ヘリオス　テクノ　ホールディングへりおす　てくの　ほーるでぃんぐ","電気機器","74.5","47.0","17534","1976.1","2002.12","None","2.7","30.9","[優待]","7.0","3.3","747","840","3918","422.6","427.6","0.985","0.922","0.95","1.082","1.05","0.909","0.911","0.909","0.968","0.855","0.976","1.037","0.935","0.887","0.81","0.853","0.818","0.801","0.727","0.753","0.758","0.82","0.907","0.963","1.082","0.988","0.921","0.88","0.984","0.926","0.763","0.783","0.779","0.896","0.855","0.884","0.925","0.851","0.869","0.878","0.883","0.851","0.811","0.811","0.811","0.812","0.876","0.918","0.926","0.985"
"2018/07/26 23:58:24","201412","6993","1.366","アジアグロースキャピタルあじあぐろーすきゃぴたる","電気機器","114","38.3","16775","1935.12","1961.1","None","1.6","16.6","[貸借]","12.7","4.9","84","-290","1663","58.3","38.5","1.032","1.265","1.232","1.213","1.252","1.206","1.252","1.335","1.019","0.994","1.0","0.806","0.735","0.561","0.452","0.581","0.548","0.568","0.503","0.49","0.49","0.497","0.497","0.51","0.574","1.035","1.264","1.142","1.103","1.104","1.013","1.077","1.144","0.944","0.994","0.906","0.719","0.669","0.549","0.49","0.601","0.57","0.575","0.561","0.528","0.525","0.531","0.503","0.49","0.522"
"2018/07/27 00:14:02","201503","2371","1.214","(株)カカクコムかかくこむ","サービス業","4047","84.9","17095","2000.5","2003.1","None","38.9","4.0","[貸借]","42.7","36.3","9242","7943","26425","116.1","115.9","1.001","0.931","0.969","0.888","0.988","0.966","0.969","1.139","1.176","1.199","1.156","0.994","1.047","0.998","1.052","1.015","1.073","0.867","0.913","0.884","0.899","0.969","1.024","0.813","0.818","1.016","0.917","0.909","0.853","0.945","0.999","1.083","1.152","1.171","1.218","1.263","1.203","1.21","1.16","1.189","1.266","1.291","1.037","1.089","0.999","0.966","1.006","1.059","0.833","0.823"
"2018/07/27 00:14:21","201503","2471","1.488","(株)エスプールえすぷーる","サービス業","28.3","35.0","1996","1999.12","2006.2","None","1.7","24.9","","23.8","8.4","291","64","202","251.7","72.7","1.004","0.982","1.094","1.158","1.019","0.931","0.912","0.895","0.9","0.924","0.73","0.692","0.865","0.787","0.863","0.964","1.316","1.446","1.626","1.809","1.658","1.645","1.502","1.626","1.775","1.019","0.967","1.026","1.112","0.975","0.963","1.019","0.905","0.896","0.939","0.798","0.838","1.0","0.915","0.975","1.202","1.584","1.73","1.94","2.044","1.781","1.708","1.553","1.666","1.786"
"2018/07/27 00:31:24","201503","8934","1.241","サンフロンティア不動産さんふろんてぃあふどうさん","不動産業","427","56.4","7485","1999.4","2004.11","None","11.4","8.2","[貸借]","22.8","12.8","-6827","-2161","10259","503.5","426.1","0.983","1.022","0.948","0.882","0.891","0.811","0.801","0.873","0.801","0.794","0.899","0.904","1.01","0.917","1.061","0.924","0.908","0.909","0.902","0.891","0.874","0.916","0.893","0.908","0.918","0.998","1.007","0.889","0.847","0.853","0.839","0.895","0.883","0.798","0.807","0.983","1.094","1.168","1.066","1.199","1.152","1.093","1.087","1.076","1.007","0.939","0.951","0.923","0.93","0.924"
"2018/07/27 00:37:36","201506","2480","1.279","システム・ロケーションしすてむ・ろけーしょん","サービス業","42.2","63.2","617","1968.4","2006.4","上方0 下方0 経常益÷期初会社予想1.1倍","0.1","8.0","","16.3","10.3","466","187","1165","468.9","418.2","1.048","1.189","1.077","0.952","1.067","0.906","0.903","0.55","0.469","0.52","0.482","0.43","0.415","0.403","0.397","0.422","0.444","0.461","0.544","0.66","0.631","0.604","0.613","0.643","0.706","1.05","1.187","1.162","1.108","1.126","0.941","0.957","0.627","0.592","0.627","0.584","0.506","0.54","0.506","0.495","0.526","0.523","0.516","0.589","0.712","0.674","0.65","0.651","0.668","0.71"
