now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/26 22:15:14,1332_2015L_PL,258,51.55,1.4,2343,55,49.09,0.77,-2089,-0.048,-0.45
2018/07/26 22:15:14,1332_2015S_PL,250,44.8,0.93,-517,41,53.66,1.96,4815,0.198,1.108
2018/07/26 22:15:15,1332_2016L_PL,272,51.84,1.35,2230,43,60.47,1.68,3031,0.166,0.244
2018/07/26 22:15:16,1332_2016S_PL,256,46.88,1.1,685,45,48.89,0.98,-106,0.043,-0.109
2018/07/26 22:15:17,1332_2017L_PL,276,52.9,1.34,2200,23,39.13,0.53,-2164,-0.26,-0.604
2018/07/26 22:15:17,1332_2017S_PL,264,47.35,1.02,164,25,68.0,1.36,2187,0.436,0.333
2018/07/26 22:15:18,1333_2016L_PL,138,50.72,1.38,1455,46,52.17,0.94,-347,0.029,-0.319
2018/07/26 22:15:18,1333_2016S_PL,117,48.72,0.93,-431,39,53.85,0.82,-502,0.105,-0.118
2018/07/26 22:15:19,1333_2017L_PL,186,51.61,1.24,1014,33,45.45,0.84,-849,-0.119,-0.323
2018/07/26 22:15:19,1333_2017S_PL,158,50.0,0.9,-483,18,66.67,1.81,2666,0.333,1.011
2018/07/26 22:15:20,1343_2013L_PL,230,69.13,4.23,6332,54,62.96,2.48,2072,-0.089,-0.414
2018/07/26 22:15:21,1343_2013S_PL,257,52.53,1.63,2322,31,38.71,0.86,-476,-0.263,-0.472
2018/07/26 22:15:22,1343_2014L_PL,277,68.23,3.82,4989,38,55.26,2.06,2280,-0.19,-0.461
2018/07/26 22:15:22,1343_2014S_PL,276,49.28,1.26,977,52,46.15,0.96,-124,-0.064,-0.238
2018/07/26 22:15:23,1343_2015L_PL,285,66.67,3.19,4083,58,51.72,2.09,2335,-0.224,-0.345
2018/07/26 22:15:24,1343_2015S_PL,279,47.67,1.18,681,45,55.56,0.95,-164,0.166,-0.195
2018/07/26 22:15:25,1343_2016L_PL,299,62.54,3.11,3803,43,46.51,1.13,237,-0.256,-0.637
2018/07/26 22:15:26,1343_2016S_PL,284,50.35,1.24,862,49,55.1,0.92,-119,0.094,-0.258
2018/07/26 22:15:28,1343_2017L_PL,311,60.77,2.94,3494,28,50.0,1.04,83,-0.177,-0.646
2018/07/26 22:15:28,1343_2017S_PL,275,50.55,1.13,380,18,44.44,0.42,-1604,-0.121,-0.628
2018/07/26 22:15:37,1345_2013L_PL,221,68.33,3.7,5573,50,70.0,3.38,2679,0.024,-0.086
2018/07/26 22:15:38,1345_2013S_PL,256,46.48,1.21,906,30,56.67,1.54,1510,0.219,0.273
2018/07/26 22:15:40,1345_2014L_PL,270,68.15,3.29,4566,43,62.79,2.58,2429,-0.079,-0.216
2018/07/26 22:15:40,1345_2014S_PL,276,46.74,1.14,569,55,49.09,1.07,224,0.05,-0.061
2018/07/26 22:15:42,1345_2015L_PL,277,67.51,3.49,4145,53,49.06,2.02,1871,-0.273,-0.421
2018/07/26 22:15:43,1345_2015S_PL,281,48.4,1.22,797,45,44.44,0.9,-326,-0.082,-0.262
2018/07/26 22:15:45,1345_2016L_PL,290,62.76,3.01,3608,35,60.0,1.86,1206,-0.044,-0.382
2018/07/26 22:15:45,1345_2016S_PL,276,51.09,1.4,1333,56,39.29,0.68,-514,-0.231,-0.514
2018/07/26 22:15:47,1345_2017L_PL,293,64.16,3.21,3642,30,46.67,0.52,-1513,-0.273,-0.838
2018/07/26 22:15:47,1345_2017S_PL,272,50.0,1.18,566,16,56.25,0.8,-389,0.125,-0.322
2018/07/26 22:15:49,1346_2013L_PL,161,66.46,2.17,3537,33,63.64,2.38,2537,-0.042,0.097
2018/07/26 22:15:49,1346_2013S_PL,163,46.01,1.19,866,25,56.0,1.12,404,0.217,-0.059
2018/07/26 22:15:51,1346_2014L_PL,196,65.82,2.19,3331,42,57.14,1.22,779,-0.132,-0.443
