,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,rng200,avg200,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2015-12-15,2620.0,2630.0,2600.0,2600.0,141000.0,2600.0,0.1,0.0,-0.02,0.0,-0.02,0.18,-0.06,2600.0,2626.0,2574.0,26.0,5331.0,0.0,-19266.0,-29946.0,-49212.0
2015-12-16,2640.0,2640.0,2620.0,2630.0,165000.0,2630.0,0.1,0.0,-0.02,0.0,-0.02,0.18,-0.06,2600.0,2626.0,2574.0,35.0,0.0,0.0,-19266.0,-29946.0,-49212.0
2015-12-17,2650.0,2660.0,2630.0,2640.0,198000.0,2640.0,0.1,0.3,0.0,0.23,-0.01,0.24,-0.05,2630.0,2665.0,2595.0,26.0,0.0,0.0,-19266.0,-29946.0,-49212.0
2015-12-18,2650.0,2650.0,2620.0,2620.0,202000.0,2620.0,0.1,0.5,0.01,0.31,-0.01,0.25,-0.05,2640.0,2666.0,2614.0,26.0,0.0,0.0,-19266.0,-29946.0,-49212.0
2015-12-21,2620.0,2630.0,2610.0,2610.0,182000.0,2610.0,0.1,0.33,-0.0,0.15,-0.02,0.22,-0.05,2620.0,2646.0,2594.0,18.0,0.0,0.0,-19266.0,-29946.0,-49212.0
2015-12-22,2630.0,2630.0,2590.0,2590.0,328000.0,2590.0,0.1,0.17,-0.0,0.08,-0.02,0.2,-0.06,2610.0,2628.0,2592.0,35.0,0.0,-21886.0,-19266.0,-51832.0,-71098.0
2015-12-24,2650.0,2750.0,2640.0,2670.0,1387000.0,2670.0,0.1,0.0,-0.01,0.0,-0.02,0.16,-0.06,2590.0,2625.0,2555.0,137.0,0.0,0.0,-19266.0,-51832.0,-71098.0
2015-12-25,2700.0,2700.0,2630.0,2630.0,320000.0,2630.0,0.1,0.5,0.02,0.5,0.01,0.31,-0.03,2670.0,2807.0,2533.0,60.0,0.0,0.0,-19266.0,-51832.0,-71098.0
2015-12-28,2700.0,2700.0,2640.0,2700.0,237000.0,2700.0,0.1,0.25,0.0,0.25,-0.01,0.24,-0.05,2630.0,2690.0,2570.0,60.0,0.0,0.0,-19266.0,-51832.0,-71098.0
2015-12-29,2700.0,2740.0,2690.0,2740.0,425000.0,2740.0,0.1,0.69,0.02,0.69,0.02,0.36,-0.02,2700.0,2760.0,2640.0,43.0,0.0,0.0,-19266.0,-51832.0,-71098.0
2015-12-30,2740.0,2780.0,2740.0,2770.0,282000.0,2770.0,0.1,0.94,0.03,0.94,0.03,0.44,-0.01,2740.0,1.4198976e+18,2740.0,0.0,0.0,0.0,0.0,0.0,0.0
